,楼盘名称,项目别名,jd,wd
0,10里原麓,,,
1,24队车站小区,,106.232190,29.595463
2,e度空间,e度空间,106.510305,29.535458
3,MOMA西西里,,106.283558,29.271209
4,阿卡迪亚江域二十七峰,江域二十七峰;江域27峰,106.489777,29.548109
5,艾佳沁园,艾佳沁园,106.516688,29.516803
6,爱德华大厦,爱德华大厦,,
7,爱丁堡花园,爱丁堡,106.520109,29.578831
8,爱丁名苑,爱丁名苑,106.520389,29.577763
9,爱丁新甸,爱丁新甸,106.520738,29.577600
10,爱华大厦,爱华大厦,106.451391,29.542499
11,爱华隆兴嘉园,爱华隆兴嘉园;爱华隆鑫嘉园,106.526514,29.565439
12,爱心物业,爱心物业,106.620552,29.704269
13,爱心小区,爱心小区,106.567320,29.521545
14,安居小区,,106.336515,29.619969
15,安康路188号,广电局,106.637166,29.738275
16,安礼路80号,海宇西苑,106.391458,29.802452
17,安信家园,安信家园;安信家园一期;安信家园二期,106.502349,29.492939
18,奥飞马,,106.540639,29.588259
19,奥林匹克花园九期,融创博爵堡;融创奥山博爵堡,106.564787,29.635788
20,奥林匹克花园六期,奥山别墅;融创勋爵堡,106.555273,29.633503
21,奥林匹克花园三期,奥林匹克花园雅典海岸,106.560439,29.638524
22,奥林匹克花园十二期,融创尊爵堡,106.560661,29.636072
23,奥林匹克花园十五期,融创御锦Ⅱ;融创御锦二期;融创御苑（别墅）,106.552105,29.631126
24,奥体东路1号,上城奥悦,106.510280,29.524537
25,奥体东路63号,华宇2008公寓;华宇2008,106.507254,29.521149
26,奥体路1号,中新城上城;中新城上城二期;中新城上城活力mall,106.510868,29.529804
27,奥体路28号,保利国宾上院,106.508531,29.529511
28,奥体路2号,韵动人家,106.510762,29.529829
29,奥体路7号,左邻右舍;左林右舍,106.507477,29.526615
30,奥体五支路1号,青年根据地,106.508584,29.523691
31,奥体运动街160号,星韵苑;金洲星韵苑,106.497572,29.524643
32,奥体运动街63号,同创奥韵;同创奥韵B区,106.499079,29.526826
33,奥园城市天地,奥园城市天地A区;奥园城市天地;奥园城市天地C区,106.643469,29.513338
34,奥园康城,奥园康城;奥园康城A区;奥园康城c区;奥园康城B区,106.521034,29.527908
35,奥园越时代,奥园越时代B区,106.661325,29.527220
36,奥韵汇龙国际,,105.922749,29.353091
37,奥韵路3号,上城奥邻,106.500495,29.526848
38,八桥街,八桥街,106.479240,29.473440
39,八桥街170号,远景天下,106.478222,29.473444
40,八桥街34号,新华小区,106.481620,29.474540
41,八桥街45号,鑫桥小区,106.481806,29.476357
42,八桥街56号,轻轨志龙居;志龙居,106.475316,29.472075
43,八桥街67号,洄龙园;洄龙苑,106.481945,29.473939
44,八一路10号,香江庭院,106.577969,29.557769
45,八一路181号,鸿德181,106.577535,29.555138
46,八一路191号,八一路老小区,106.578440,29.555649
47,八一路213号,八一路老小区,106.578175,29.557067
48,八一路218号,雅地天际,106.577210,29.555460
49,八一路223号,八一路老小区,106.577423,29.556594
50,八一路260号,恒通云鼎国际公寓;恒通云鼎;云鼎国际,106.576123,29.554308
51,八一路9号,帝都大厦,106.579830,29.559613
52,巴比亚半山,巴比亚半山;巴比亚半山一期,106.525497,29.460232
53,巴滨路1号,浩立碧海湾;浩立碧海湾二期,106.555005,29.498219
54,巴滨路68号,华宇龙湾;华宇.龙湾一期一组团;华宇.龙湾一期二组团;华宇.龙湾一期四组团,106.528593,29.415583
55,巴滨路888号,宗申.金蓝湾一期;宗申金蓝湾;金蓝湾;宗申.金蓝湾二期,106.503116,29.463052
56,巴国锦苑,巴国景苑,106.472114,29.505116
57,巴教村,,106.559968,29.558741
58,巴黎花园,巴黎花园,106.531978,29.581107
59,巴南大道1号,尚美时代A区；尚美时代一期,106.545527,29.464913
60,巴南大道68号,曦圆青岗湾;曦圆.青岗湾二期,106.558011,29.458608
61,巴南大道6号,尚美时代B区,106.546900,29.463146
62,巴南大道80号,,106.551680,29.462319
63,巴南大道82号,,106.551680,29.462319
64,巴南大道8号,曼哈顿城；曼哈顿城一区;曼哈顿城一期;曼哈顿城二区;曼哈顿城二期,106.547280,29.463240
65,巴南大道92号,,106.551680,29.462319
66,巴南大道9号,恒大城;恒大城一期；恒大城二期,106.555812,29.462272
67,巴南时代大厦,巴南时代大厦,106.522670,29.381649
68,巴山星韵,巴山星韵,106.470653,29.522243
69,巴蜀城北岸明珠,巴蜀城北岸明珠,106.583005,29.650839
70,巴蜀锦绣银街,巴蜀锦绣银街小区;巴蜀锦绣;锦绣银街,,
71,巴蜀路4号,巴蜀剑桥,106.561270,29.562410
72,巴县大道101号,海天花园;蔚蓝海天;海天花园·蔚蓝海天,106.514876,29.384209
73,巴县大道102号,华夏八街;华夏8街,106.513476,29.385525
74,巴县大道103号,斌鑫宏源花园;宏源花园;斌鑫宏源小区;斌鑫·宏源花园;宏源小区,106.513592,29.385047
75,巴县大道112号,兴源商住楼；兴源小区,106.511520,29.385883
76,巴县大道18号,巴县大道,106.528631,29.379825
77,巴县大道20号,巴县大道,106.528182,29.379904
78,巴县大道35号,绿苑大厦,106.526090,29.379415
79,巴县大道37号,巴县大道,106.525160,29.379965
80,巴县大道43号,巴县大道,106.524534,29.379732
81,巴县大道52号,巴县大道,106.522500,29.381589
82,巴县大道5号,巴县大道,106.514625,29.384995
83,巴县大道66号,中干道,106.521472,29.382284
84,巴县大道67号,巴县大道,106.519669,29.382715
85,巴县大道69号,中干道,106.519130,29.383266
86,巴县大道6号,祥弘悦城,106.529514,29.380486
87,巴县大道72号,中干道,106.520477,29.382885
88,巴县大道73号,巴县大道,106.518527,29.383216
89,巴县大道75号,中干道,106.518055,29.383187
90,巴县大道77号,东升苑,106.518552,29.382720
91,巴县大道7号,渝南大厦,106.529530,29.379590
92,巴县大道80号,巴县大道,106.519915,29.383236
93,巴县大道82号,巴县大道,106.519427,29.383556
94,巴县大道84号,巴县大道,106.519075,29.383804
95,巴县大道86号,巴县大道,106.519044,29.383823
96,巴县大道87号,巴县大道,106.516882,29.384211
97,巴县大道92号,巴县大道,106.518002,29.384445
98,巴县大道94号,巴县大道,106.517694,29.384638
99,巴县大道96号,巴县大道,106.516930,29.385075
100,巴县大道98号,乔鹤小区,106.515770,29.385420
101,巴县中学集资楼,巴县中学集资楼,106.513210,29.387648
102,芭蕉园,芭蕉园,106.587247,29.557831
103,白岸印象,,106.575869,29.610143
104,白鹤村10号,中建厂宿舍,106.593875,29.426250
105,白鹤林社区,,106.519721,29.590681
106,白鹤岭11号,杨公桥白鹤岭;白鹤岭小区,106.451595,29.567106
107,白鹤岭161号,杨公桥白鹤岭;白鹤岭小区,106.455036,29.568617
108,白鹤岭162号,杨公桥白鹤岭;白鹤岭小区,106.454846,29.568773
109,白鹤岭163号,杨公桥白鹤岭;白鹤岭小区,106.454612,29.569894
110,白鹤岭16号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
111,白鹤岭17号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
112,白鹤岭18号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
113,白鹤岭19号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
114,白鹤岭20号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
115,白鹤岭21号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
116,白鹤岭22号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
117,白鹤岭23号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
118,白鹤岭24号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
119,白鹤岭25号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
120,白鹤岭26号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
121,白鹤岭27号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
122,白鹤岭28号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
123,白鹤岭29号,杨公桥白鹤岭;白鹤岭小区,106.453218,29.567989
124,白鹤岭2号,大川家园,106.453447,29.565276
125,白鹤岭30号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
126,白鹤岭31号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
127,白鹤岭32号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
128,白鹤岭33号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
129,白鹤岭34号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
130,白鹤岭4号,和旭QQ时代;QQ时代,106.454816,29.567756
131,白鹤岭6号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
132,白鹤岭7号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
133,白鹤岭8号,杨公桥白鹤岭;白鹤岭小区,106.454048,29.565950
134,白鹤楼,白鹤楼,106.564460,29.513645
135,白鹤路108号,东原檀香山；檀香山,106.558447,29.514328
136,白鹤路110号,南城景苑,106.558625,29.515000
137,白鹤路130号,中冶林荫大道;林荫大道,106.561367,29.514474
138,白鹤路136号,东海金港湾；金港湾,106.565384,29.514340
139,白鹤路139号,翠堤春晓幸福里;翠堤春晓,106.566572,29.516530
140,白鹤路155号,弘扬华城国际;华诚国际；华城国际,106.568334,29.515661
141,白鹤路158号,芭厘芭厘,106.559577,29.511505
142,白鹤路45号,天盈首原,106.547980,29.516500
143,白桦路6号,万科缇香郡,106.522937,29.621008
144,白林路19号,隆景苑,106.372627,29.488908
145,白林路23号,天盈香御驿都;天盈·香御驿都;香御驿都,106.374246,29.488110
146,白龙大道149号,亲水湾；来新居·亲水湾,106.058833,29.823531
147,白龙嘉和丽景,白龙·嘉和丽景,106.058236,29.825329
148,白龙路23号,渝水坊二期,106.372359,29.504651
149,白龙路25号,渝水坊;渝水坊一期,106.373019,29.504569
150,白龙路2号,驿都小区,108.815820,30.594270
151,白龙路5号,蓝天美地;瑞侨蓝天美地,106.370579,29.494277
152,白龙路68号,贝迪朗晴居,106.373488,29.496187
153,白鹿丽苑,白鹿丽苑,109.725317,31.592137
154,白马凼138号,华宇时代星都,106.478967,29.534221
155,白马凼45号,现代苑,106.477632,29.531376
156,白马凼66号,税校家属区,106.477860,29.530310
157,白马凼小区,白马凼小区,106.477843,29.530322
158,白马康居花园,白马康居花园;白马花园;白马康居,106.477353,29.531989
159,白马小区,白马小区,109.577976,31.391268
160,白彭路168号,百可阳光公寓,106.352600,29.374443
161,白彭路2号,北京城建熙城,106.329740,29.313250
162,白彭路388号,骄杨理想城;骄杨·理想城,106.365278,29.440088
163,白彭路6号,五星国色天香,106.330198,29.313861
164,白彭路8号,北京城建熙城北区;北京城建熙城A区,106.329172,29.311132
165,白塔新苑,,106.271480,29.980014
166,白桃路10号,白合小区,106.479050,29.519320
167,白桃路2号,天鸿龙宇金座,106.478258,29.521091
168,白桃路5号,秋玉景苑,106.480469,29.519546
169,白象大厦,白象大厦,105.588980,29.399330
170,白象街1号,白象街小区,106.585008,29.556018
